year,month,dengue,rain,temp,denguel2,denguel24,rainl2,rainl3,templ3
2003,1,56,174,26.6,15,48,262,2,27.5
2003,2,43,465,26.4,4,47,236,262,27.8
2003,3,37,233,27,56,47,174,236,27.2
2003,4,86,44,27.8,43,63,465,174,26.6
2003,5,51,123,26.9,37,142,233,465,26.4
2003,6,51,14,26.3,86,66,44,233,27
2003,7,50,0,24.8,51,67,123,44,27.8
2003,8,20,0,25.3,51,50,14,123,26.9
2003,9,37,0,26.7,50,35,0,14,26.3
2003,10,33,29,27.1,20,24,0,0,24.8
2003,11,17,NA,NA,37,15,0,0,25.3
2003,12,22,301,26.5,33,3,29,0,26.7
2004,1,151,334,27,17,61,NA,29,27.1
2004,2,160,159,26.5,22,43,301,NA,NA
2004,3,261,268,26.6,151,32,334,301,26.5
2004,4,36,19,28,160,59,159,334,27
2004,5,13,23,27.2,261,52,268,159,26.5
2004,6,4,6,25.9,36,32,19,268,26.6
2004,7,12,13,26.2,13,21,23,19,28
2004,8,10,7,25.4,4,20,6,23,27.2
2004,9,20,1,26.8,12,24,13,6,25.9
2004,10,11,13,27.5,10,16,7,13,26.2
2004,11,9,329,27.6,20,15,1,7,25.4
2004,12,18,424,26.7,11,4,13,1,26.8
2005,1,15,346,26.7,9,56,329,13,27.5
2005,2,31,484,26.7,18,43,424,329,27.6
2005,3,39,152,27.3,15,37,346,424,26.7
2005,4,30,254,27.3,31,86,484,346,26.7
2005,5,23,1,27.7,39,51,152,484,26.7
2005,6,14,106,27.5,30,51,254,152,27.3
2005,7,7,123,26.2,23,50,1,254,27.3
2005,8,17,12,25.8,14,20,106,1,27.7
2005,9,13,5,27,7,37,123,106,27.5
2005,10,19,128,27.3,17,33,12,123,26.2
2005,11,34,87,27.4,13,17,5,12,25.8
2005,12,101,481,25.9,19,22,128,5,27
2006,1,172,391,26.4,34,151,87,128,27.3
2006,2,230,309,26.8,101,160,481,87,27.4
2006,3,247,337,26.6,172,261,391,481,25.9
2006,4,63,232,26.5,230,36,309,391,26.4
2006,5,31,195,26.7,247,13,337,309,26.8
2006,6,37,0,25.6,63,4,232,337,26.6
2006,7,31,0,24.9,31,12,195,232,26.5
2006,8,31,0,25.1,37,10,0,195,26.7
2006,9,15,0,25.7,31,20,0,0,25.6
2006,10,14,1,27.5,31,11,0,0,24.9
2006,11,11,42,29,15,9,0,0,25.1
2006,12,12,329,27.5,14,18,1,0,25.7
2007,1,80,100,27,11,15,42,1,27.5
2007,2,99,335,27.3,12,31,329,42,29
2007,3,129,284,26.6,80,39,100,329,27.5
2007,4,99,326,27,99,30,335,100,27
2007,5,136,40,27.5,129,23,284,335,27.3
2007,6,74,39,26.4,99,14,326,284,26.6
2007,7,60,3,25.7,136,7,40,326,27
2007,8,35,0,25.5,74,17,39,40,27.5
2007,9,15,0,26,60,13,3,39,26.4
2007,10,15,53,27.5,35,19,0,3,25.7
2007,11,17,185,26.8,15,34,0,0,25.5
2007,12,8,709,26.4,15,101,53,0,26
2008,1,96,174,26.3,17,172,185,53,27.5
2008,2,95,346,25.8,8,230,709,185,26.8
2008,3,81,242,25.7,96,247,174,709,26.4
2008,4,139,264,26.8,95,63,346,174,26.3
2008,5,132,106,26.3,81,31,242,346,25.8
2008,6,61,9,25.6,139,37,264,242,25.7
2008,7,52,0,24.4,132,31,106,264,26.8
2008,8,18,0,25.7,61,31,9,106,26.3
2008,9,10,2,27,52,15,0,9,25.6
2008,10,16,191,27.5,18,14,0,0,24.4
2008,11,19,306,26.3,10,11,2,0,25.7
2008,12,49,232,26,16,12,191,2,27
2009,1,85,317,26.2,19,80,306,191,27.5
2009,2,67,312,25.7,49,99,232,306,26.3
2009,3,54,249,26.7,85,129,317,232,26
2009,4,96,191,27.3,67,99,312,317,26.2
2009,5,54,122,26.8,54,136,249,312,25.7
2009,6,64,42,26.6,96,74,191,249,26.7
2009,7,91,0,25.2,54,60,122,191,27.3
2009,8,56,0,25.4,64,35,42,122,26.8
2009,9,18,0,26.8,91,15,0,42,26.6
2009,10,23,70,27.8,56,15,0,0,25.2
2009,11,24,121,27.9,18,17,0,0,25.4
2009,12,56,185,27.5,23,8,70,0,26.8
2010,1,70,254,26.8,24,96,121,70,27.8
2010,2,95,312,27.2,56,95,185,121,27.9
2010,3,162,414,27.6,70,81,254,185,27.5
2010,4,152,131,27.5,95,139,312,254,26.8
2010,5,162,319,27.6,162,132,414,312,27.2
2010,6,208,113,27.3,152,61,131,414,27.6
2010,7,160,35,26.9,162,52,319,131,27.5
2010,8,136,155,27.2,208,18,113,319,27.6
2010,9,71,401,27.2,160,10,35,113,27.3
2010,10,90,157,27.2,136,16,155,35,26.9
2010,11,92,240,27.5,71,19,401,155,27.2
2010,12,119,512,28.2,90,49,157,401,27.2
2011,1,104,401,26.4,92,85,240,157,27.2
2011,2,73,323,26.5,119,67,512,240,27.5
2011,3,102,335,26.9,104,54,401,512,28.2
2011,4,61,265,26.7,73,96,323,401,26.4
2011,5,40,177,26.9,102,54,335,323,26.5
2011,6,27,0,26,61,64,265,335,26.9
2011,7,13,0,26.1,40,91,177,265,26.7
2011,8,14,0,25.6,27,56,0,177,26.9
2011,9,1,1,26.6,13,18,0,0,26
2011,10,8,19,27.9,14,23,0,0,26.1
2011,11,9,371,27.2,1,24,1,0,25.6
2011,12,8,389,27.2,8,56,19,1,26.6
2012,1,16,295,26,9,70,371,19,27.9
2012,2,39,388,26,8,95,389,371,27.2
2012,3,29,321,NA,16,162,295,389,27.2
2012,4,44,247,NA,39,152,388,295,26
2012,5,42,63,NA,29,162,321,388,26
2012,6,36,4,NA,44,208,247,321,NA
2012,7,24,0,NA,42,160,63,247,NA
2012,8,16,NA,NA,36,136,4,63,NA
2012,9,14,NA,NA,24,71,0,4,NA
2012,10,25,67,NA,16,90,NA,0,NA
2012,11,25,222,26.9,14,92,NA,NA,NA
2012,12,64,407,26.6,25,119,67,NA,NA
